KPI Name,KPI Formula
CALL_SETUP_FAILURE,sum(CSSR_DENOM)-sum(CSSR_NUM)
CALL_SETUP_ATTEMPT,sum(CSSR_DENOM)
TCH_DROP_RATE,100*sum(TCH_DROP_NUM)/sum(TCH_DROP_DENOM)
TCH_DROP_COUNT,sum(TCH_DROP_NUM)
HO_SUCCESS_RATE,100*sum(GSM_HO_NUM)/sum(GSM_HO_DENOM)
HO_FAILURE,sum(GSM_HO_DENOM)-sum(GSM_HO_NUM)
HO_ATTEMPT,sum(GSM_HO_DENOM)
DL_TBF_ALLOC_SUCCSS_RATE,100*sum(DL_TBF_ALLOC_NUM)/sum(DL_TBF_ALLOC_DENOM)
DL_TBF_ALLOC_FAILURE,sum(DL_TBF_ALLOC_DENOM)-sum(DL_TBF_ALLOC_NUM)
DL_TBF_ALLOC_ATTEMPT,sum(DL_TBF_ALLOC_DENOM)
TCH_AVAILABILITY,100*sum(TCH_AVAIL_NUM)/sum(TCH_AVAIL_DENOM)
SDCCH_SETUP_SUCCESS_RATE,100*sum(SDCCH_SETUP_NUM)/sum(SDCCH_SETUP_DENOM)
SDCCH_SETUP_FAILURE,sum(SDCCH_SETUP_DENOM)-sum(SDCCH_SETUP_NUM)
SDCCH_SETUP_ATTEMPT,sum(SDCCH_SETUP_DENOM)
TCH_BLOCKING_RATE,100*sum(TCH_BLOCKING_NUM)/sum(TCH_BLOCKING_DENOM)
TCH_BLOCKING_COUNT,sum(TCH_BLOCKING_NUM)
PDCH_ALLOC_SUCCESS_RATE,100*sum(PDCH_ALLOC_NUM)/sum(PDCH_ALLOC_DENOM)
PDCH_ALLOC_FAILURE,sum(PDCH_ALLOC_DENOM)-sum(PDCH_ALLOC_NUM)
PDCH_ALLOC_ATTEMPT,sum(PDCH_ALLOC_DENOM)
RANDOM_ACCESS_SUCCESS_RATE,100*sum(RA_NUM)/sum(RA_DENOM)
RANDOM_ACCESS_FAILURE,sum(RA_DENOM)-sum(RA_NUM)
RANDOM_ACCESS_ATTEMPT,sum(RA_DENOM)
SDCCH_BLOCKING_RATE,100*sum(SDCCH_BLOCKING_NUM)/sum(SDCCH_BLOCKING_DENOM)
SDCCH_BLOCKING_COUNT,sum(SDCCH_BLOCKING_NUM)
DATA_TRAFFIC_MB,sum(GSM_DATA_TRAFFIC_MB)
DATA_TRAFFIC_GB,sum(GSM_DATA_TRAFFIC_MB)/1000,
VOICE_TRAFFIC_ERL,sum(GSM_VOICE_TRAFFIC_ERL)
CSFB_FAS_RETURN_TO_LTE_COUNT,sum(CSFB_FAST_RETURN_TO_LTE)
